what the model was told it could do,tasks played,tasks where it said DONE at the decision point,"of those, how many were wrong",share of tasks where it said DONE,tasks it claimed and the other did not
may say DONE (control) (CTRL),118,71,21,0.6017,5
told that stopping early is rewarded (SIGMA),72,42,10,0.5833,1
